id,titulo,anunciante,tipo,precio
86255584,"Alquiler de Piso en calle Antonio Gades, 44",Profesional   Viviendas en alquiler,piso,790
86255307,"Alquiler de Piso en calle de Antonio Gades, 44",Profesional   Viviendas en alquiler,piso,660
87144598,Alquiler de Piso en avenida del ensanche de vallecas,Profesional   Nuevo Hogar Inmobiliaria,piso,760
33810793,"Alquiler de Piso en avenida de las suertes, 98",Profesional   Promociones Urbanas Sl,piso,689
83602553,"Alquiler de Piso en avenida Ensanche de Vallecas, Madrid, 116",Profesional   Témpore Homes,piso,780
82407813,"Alquiler de Piso en avenida del Ensanche de Vallecas, Madrid, 116",Profesional   Témpore Homes,piso,790
85984683,"Alquiler de Piso en calle Gran Vía del Sureste, 59 B",Profesional   Viviendas en alquiler,piso,725
85967307,Alquiler de Piso en calle la Escuela de Vallecas,Profesional   MAGNUM,piso,750
32941158,Alquiler de Piso en avenida cerro milano,Profesional   equipo de alquiler,piso,680
87171405,"Alquiler de Piso en Arte Pop, 8",Profesional   Vivenio Madrid,piso,695
87150230,"Alquiler de Ático en avenida de la Gran Vía del Sureste, 33",Particular    juan ignacio,piso,720
84099521,"Alquiler de Piso en calle Juan Antonio Rebolledo y Palma, 20",Profesional   Lazora Alquiler,piso,779
39497373,Alquiler de Piso en calle José Tamayo s/n,Profesional   MAGNUM,piso,740
84071124,"Alquiler de Piso en calle Corral de Almaguer, Madrid, 12",Profesional   Lazora Alquiler,piso,705
84200113,"Alquiler de Piso en calle José Gutiérrez Maroto, 3",Profesional   Viviendas en alquiler,piso,800
